#gene	refseq	ensembl
OR4F5	NM_001005484.2	ENST00000641515.2
BCL2L14	NM_138723.2	ENST00000308721.9
LRP6	NM_002336.3	ENST00000261349.9
MANSC1	NM_018050.4	ENST00000535902.6
BORCS5	NM_058169.6	ENST00000314565.9
DUSP16	NM_030640.3	ENST00000298573.9
CREBL2	NM_001310.4	ENST00000228865.3
GPR19	NM_006143.3	ENST00000651487.1
CDKN1B	NM_004064.5	ENST00000228872.9
APOLD1	NM_030817.3	ENST00000356591.5
DDX47	NM_016355.4	ENST00000358007.7
GPRC5A	NM_003979.4	ENST00000014914.6
GPRC5D	NM_018654.2	ENST00000228887.6
HEBP1	NM_015987.5	ENST00000014930.9
FAM234B	NM_020853.2	ENST00000197268.13
GSG1	NM_001080555.4	ENST00000651961.1
EMP1	NM_001423.3	ENST00000256951.10
GRIN2B	NM_000834.5	ENST00000609686.4
ATF7IP	NM_018179.5	ENST00000261168.9
PLBD1	NM_024829.6	ENST00000240617.10
GUCY2C	NM_004963.4	ENST00000261170.5
H4C16	NM_175054.2	ENST00000539745.2
H2AJ	NM_177925.5	ENST00000544848.3
WBP11	NM_016312.3	ENST00000261167.7
C12orf60	NM_175874.4	ENST00000330828.3
SMCO3	NM_001013698.2	ENST00000316048.2
ART4	NM_021071.4	ENST00000228936.6
MGP	NM_000900.5	ENST00000539261.6
ERP27	NM_152321.4	ENST00000266397.7
ARHGDIB	NM_001175.7	ENST00000228945.9
PDE6H	NM_006205.3	ENST00000266395.3
RERG	NM_032918.3	ENST00000256953.6
PTPRO	NM_030667.3	ENST00000281171.9
EPS8	NM_004447.6	ENST00000281172.10
STRAP	NM_007178.4	ENST00000419869.7
DERA	NM_015954.4	ENST00000428559.7
SLC15A5	NM_001170798.1	ENST00000344941.3
MGST1	NM_020300.5	ENST00000396210.8
LMO3	NM_018640.5	ENST00000537304.6
RERGL	NM_001286201.2	ENST00000538724.6
PIK3C2G	NM_001288772.2	ENST00000538779.6
PLCZ1	NM_033123.4	ENST00000266505.12
CAPZA3	NM_033328.3	ENST00000317658.5
PLEKHA5	NM_001256470.2	ENST00000429027.7
AEBP2	NM_153207.5	ENST00000266508.14
PDE3A	NM_000921.5	ENST00000359062.4
SLCO1C1	NM_017435.5	ENST00000266509.7
SLCO1B3	NM_019844.4	ENST00000381545.8
SLCO1B1	NM_006446.5	ENST00000256958.3
SLCO1A2	NM_001386879.1	ENST00000683939.1
IAPP	NM_000415.3	ENST00000240652.8
PYROXD1	NM_024854.5	ENST00000240651.14
RECQL	NM_002907.4	ENST00000444129.7
GOLT1B	NM_016072.5	ENST00000229314.10
SPX	NM_030572.4	ENST00000256969.7
GYS2	NM_021957.4	ENST00000261195.3
LDHB	NM_002300.8	ENST00000350669.5
KCNJ8	NM_004982.4	ENST00000240662.3
ABCC9	NM_020297.4	ENST00000261200.9
CMAS	NM_018686.6	ENST00000229329.7
ST8SIA1	NM_003034.4	ENST00000396037.9
C2CD5	NM_001286176.2	ENST00000446597.6
ETNK1	NM_018638.5	ENST00000266517.9
SOX5	NM_006940.6	ENST00000451604.7
BCAT1	NM_005504.7	ENST00000261192.12
IRAG2	NM_001366544.2	ENST00000556887.6
DNAI7	NM_018272.5	ENST00000395987.8
ETFRF1	NM_001001660.3	ENST00000381356.9
KRAS	NM_004985.5	ENST00000311936.8
LMNTD1	NM_001145728.2	ENST00000458174.7
RASSF8	NM_001394098.1	ENST00000689635.1
BHLHE41	NM_030762.3	ENST00000242728.5
SSPN	NM_005086.5	ENST00000242729.7
ITPR2	NM_002223.4	ENST00000381340.8
INTS13	NM_018164.3	ENST00000261191.12
FGFR1OP2	NM_015633.3	ENST00000229395.8
TM7SF3	NM_016551.3	ENST00000343028.9
MED21	NM_004264.5	ENST00000282892.4
C12orf71	NM_001080406.2	ENST00000429849.3
STK38L	NM_015000.4	ENST00000389032.8
BMAL2	NM_020183.6	ENST00000266503.10
SMCO2	NM_001395208.2	ENST00000535986.2
PPFIBP1	NM_003622.4	ENST00000228425.11
REP15	NM_001029874.3	ENST00000310791.4
MRPS35	NM_021821.4	ENST00000081029.8
MANSC4	NM_001146221.5	ENST00000381273.4
KLHL42	NM_020782.2	ENST00000381271.7
PTHLH	NM_198965.2	ENST00000545234.6
CCDC91	NM_018318.5	ENST00000536442.6
FAR2	NM_001271783.2	ENST00000536681.8
ERGIC2	NM_016570.3	ENST00000360150.9
OVCH1	NM_001353179.2	ENST00000537054.2
TMTC1	NM_001193451.2	ENST00000539277.6
IPO8	NM_006390.4	ENST00000256079.9
CAPRIN2	NM_001385503.1	ENST00000695402.1
TSPAN11	NM_001370302.1	ENST00000546076.6
DDX11	NM_030653.4	ENST00000542838.6
SINHCAF	NM_001135812.2	ENST00000337682.9
DENND5B	NM_144973.4	ENST00000389082.10
ETFBKMT	NM_001135863.2	ENST00000357721.3
AMN1	NM_001113402.2	ENST00000281471.11
H3-5	NM_001013699.3	ENST00000340398.5
RESF1	NM_018169.4	ENST00000312561.9
BICD1	NM_001714.4	ENST00000652176.1
FGD4	NM_001370298.3	ENST00000534526.7
DNM1L	NM_012062.5	ENST00000549701.6
YARS2	NM_001040436.3	ENST00000324868.13
PKP2	NM_001005242.3	ENST00000340811.9
SYT10	NM_198992.4	ENST00000228567.7
ALG10	NM_032834.4	ENST00000266483.7
ALG10B	NM_001013620.4	ENST00000308742.9
CPNE8	NM_153634.3	ENST00000331366.10
KIF21A	NM_001173464.2	ENST00000361418.10
ABCD2	NM_005164.4	ENST00000308666.4
REDIC1	NM_001031748.4	ENST00000324616.9
SLC2A13	NM_052885.4	ENST00000280871.9
LRRK2	NM_198578.4	ENST00000298910.12
CNTN1	NM_001843.4	ENST00000551295.7
PDZRN4	NM_001164595.2	ENST00000402685.7
GXYLT1	NM_173601.2	ENST00000398675.8
YAF2	NM_005748.6	ENST00000534854.7
ZCRB1	NM_033114.4	ENST00000266529.8
PPHLN1	NM_201439.2	ENST00000358314.12
PRICKLE1	NM_153026.3	ENST00000345127.9
ADAMTS20	NM_025003.5	ENST00000389420.8
PUS7L	NM_031292.5	ENST00000344862.10
IRAK4	NM_016123.4	ENST00000613694.5
TWF1	NM_002822.5	ENST00000395510.7
TMEM117	NM_032256.3	ENST00000266534.8
NELL2	NM_001145108.2	ENST00000429094.7
DBX2	NM_001004329.3	ENST00000332700.6
ANO6	NM_001025356.3	ENST00000320560.13
ARID2	NM_152641.4	ENST00000334344.11
SCAF11	NM_004719.3	ENST00000369367.8
SLC38A1	NM_030674.4	ENST00000398637.10
SLC38A2	NM_018976.5	ENST00000256689.10
SLC38A4	NM_018018.5	ENST00000266579.9
AMIGO2	NM_001370299.1	ENST00000550413.2
PCED1B	NM_138371.3	ENST00000546455.6
RPAP3	NM_024604.3	ENST00000005386.8
ENDOU	NM_001172439.2	ENST00000422538.8
RAPGEF3	NM_001098531.4	ENST00000449771.7
SLC48A1	NM_017842.3	ENST00000442218.3
HDAC7	NM_015401.5	ENST00000080059.12
VDR	NM_000376.3	ENST00000549336.6
TMEM106C	NM_001143842.2	ENST00000429772.7
COL2A1	NM_001844.5	ENST00000380518.8
SENP1	NM_001267594.2	ENST00000549518.6
PFKM	NM_000289.6	ENST00000359794.11
ASB8	NM_024095.5	ENST00000317697.8
CCDC184	NM_001013635.4	ENST00000316554.5
OR10AD1	NM_001004134.1	ENST00000310248.4
H1-7	NM_181788.1	ENST00000335017.1
ZNF641	NM_001172681.2	ENST00000547026.6
C12orf54	NM_152319.4	ENST00000548364.7
ANP32D	NM_012404.3	ENST00000266594.4
OR8S1	NM_001390849.1	ENST00000641651.1
OR5BS1P	NM_001396061.1	ENST00000328207.6
LALBA	NM_002289.3	ENST00000301046.6
KANSL2	NM_017822.4	ENST00000420613.7
CCNT1	NM_001240.4	ENST00000261900.8
SPMIP11	NM_001351123.2	ENST00000548380.6
ADCY6	NM_015270.5	ENST00000357869.8
CACNB3	NM_000725.4	ENST00000301050.7
DDX23	NM_004818.3	ENST00000308025.8
RND1	NM_014470.4	ENST00000309739.6
CCDC65	NM_033124.5	ENST00000320516.5
FKBP11	NM_016594.3	ENST00000550765.6
ARF3	NM_001659.3	ENST00000256682.9
WNT10B	NM_003394.4	ENST00000301061.9
WNT1	NM_005430.4	ENST00000293549.4
DDN	NM_015086.2	ENST00000421952.3
PRKAG1	NM_002733.5	ENST00000548065.7
KMT2D	NM_003482.4	ENST00000301067.12
RHEBL1	NM_144593.3	ENST00000301068.11
DHH	NM_021044.4	ENST00000649637.2
LMBR1L	NM_018113.4	ENST00000267102.13
TUBA1B	NM_006082.3	ENST00000336023.9
TUBA1A	NM_006009.4	ENST00000301071.12
TUBA1C	NM_032704.5	ENST00000301072.11
PRPH	NM_006262.4	ENST00000257860.9
TROAP	NM_005480.4	ENST00000257909.8
C1QL4	NM_001008223.2	ENST00000334221.5
DNAJC22	NM_001304944.2	ENST00000549441.7
SPATS2	NM_023071.4	ENST00000552918.6
KCNH3	NM_012284.3	ENST00000257981.7
MCRS1	NM_006337.5	ENST00000343810.9
FAM186B	NM_032130.3	ENST00000257894.2
PRPF40B	NM_001031698.3	ENST00000548825.7
FMNL3	NM_175736.5	ENST00000335154.10
TMBIM6	NM_003217.3	ENST00000267115.10
NCKAP5L	NM_001037806.4	ENST00000335999.7
BCDIN3D	NM_181708.3	ENST00000333924.6
FAIM2	NM_012306.4	ENST00000320634.8
AQP2	NM_000486.6	ENST00000199280.4
AQP5	NM_001651.4	ENST00000293599.7
AQP6	NM_001652.4	ENST00000315520.10
RACGAP1	NM_001319999.2	ENST00000312377.10
ASIC1	NM_001095.4	ENST00000447966.7
SMARCD1	NM_003076.5	ENST00000394963.9
GPD1	NM_005276.4	ENST00000301149.8
COX14	NM_032901.4	ENST00000550487.6
CERS5	NM_147190.5	ENST00000317551.12
LIMA1	NM_016357.5	ENST00000341247.9
FAM186A	NM_001145475.3	ENST00000327337.6
LARP4	NM_052879.5	ENST00000398473.7
DIP2B	NM_173602.3	ENST00000301180.10
ATF1	NM_005171.5	ENST00000262053.8
TMPRSS12	NM_182559.3	ENST00000398458.4
TMT1A	NM_014033.4	ENST00000332160.5
HIGD1C	NM_001109619.4	ENST00000695931.1
SLC11A2	NM_000617.3	ENST00000262052.9
LETMD1	NM_015416.5	ENST00000262055.9
CSRNP2	NM_030809.3	ENST00000228515.6
TFCP2	NM_005653.5	ENST00000257915.10
POU6F1	NM_001330422.2	ENST00000333640.12
DAZAP2	NM_014764.4	ENST00000412716.8
SMAGP	NM_001031628.2	ENST00000603798.6
BIN2	NM_016293.4	ENST00000615107.6
CELA1	NM_001971.6	ENST00000293636.2
GALNT6	NM_007210.4	ENST00000356317.8
SLC4A8	NM_001039960.3	ENST00000453097.7
SCN8A	NM_001330260.2	ENST00000627620.5
TMDD1	NM_001386737.1	ENST00000642069.2
FIGNL2	NM_001384995.1	ENST00000618634.3
ANKRD33	NM_182608.4	ENST00000301190.11
ACVRL1	NM_000020.3	ENST00000388922.9
ACVR1B	NM_004302.5	ENST00000257963.9
TAMALIN	NM_181711.4	ENST00000293662.9
NR4A1	NM_173157.3	ENST00000394825.6
ATG101	NM_021934.5	ENST00000336854.9
SMIM41	NM_001369216.1	ENST00000546390.2
KRT80	NM_182507.3	ENST00000394815.3
KRT7	NM_005556.4	ENST00000331817.6
KRT86	NM_001320198.2	ENST00000423955.7
KRT81	NM_002281.4	ENST00000327741.9
KRT83	NM_002282.3	ENST00000293670.3
KRT85	NM_002283.4	ENST00000257901.7
KRT84	NM_033045.4	ENST00000257951.3
KRT82	NM_033033.4	ENST00000257974.3
KRT75	NM_004693.3	ENST00000252245.6
KRT6B	NM_005555.4	ENST00000252252.4
KRT6C	NM_173086.5	ENST00000252250.7
KRT6A	NM_005554.4	ENST00000330722.7
KRT5	NM_000424.4	ENST00000252242.9
KRT71	NM_033448.3	ENST00000267119.6
KRT74	NM_175053.4	ENST00000305620.3
KRT72	NM_080747.3	ENST00000293745.7
KRT73	NM_175068.3	ENST00000305748.7
KRT2	NM_000423.3	ENST00000309680.4
KRT1	NM_006121.4	ENST00000252244.3
KRT77	NM_175078.3	ENST00000341809.8
KRT76	NM_015848.4	ENST00000332411.2
KRT3	NM_057088.3	ENST00000417996.2
KRT4	NM_002272.4	ENST00000551956.2
KRT79	NM_175834.3	ENST00000330553.6
KRT78	NM_173352.4	ENST00000304620.5
KRT8	NM_002273.4	ENST00000692008.1
KRT18	NM_000224.3	ENST00000388835.4
EIF4B	NM_001417.7	ENST00000262056.14
TNS2	NM_170754.4	ENST00000314250.11
SPRYD3	NM_032840.3	ENST00000301463.9
IGFBP6	NM_002178.3	ENST00000301464.4
SOAT2	NM_003578.4	ENST00000301466.8
CSAD	NM_001244705.2	ENST00000444623.6
ZNF740	NM_001004304.4	ENST00000416904.5
ITGB7	NM_000889.3	ENST00000267082.10
RARG	NM_000966.6	ENST00000425354.7
LOC122455340	NM_001395962.1	ENST00000635789.2
MFSD5	NM_032889.5	ENST00000329548.5
ESPL1	NM_012291.5	ENST00000257934.9
PFDN5	NM_002624.4	ENST00000334478.9
MYG1	NM_021640.4	ENST00000267103.10
AAAS	NM_015665.6	ENST00000209873.9
SP7	NM_001173467.3	ENST00000536324.4
SP1	NM_138473.3	ENST00000327443.9
AMHR2	NM_020547.3	ENST00000257863.9
PRR13	NM_018457.4	ENST00000429243.7
PCBP2	NM_031989.5	ENST00000546463.6
MAP3K12	NM_001193511.2	ENST00000547488.6
TARBP2	NM_134323.2	ENST00000266987.7
NPFF	NM_003717.4	ENST00000267017.4
ATF7	NM_006856.3	ENST00000420353.7
ATP5MC2	NM_005176.7	ENST00000394349.9
CALCOCO1	NM_020898.3	ENST00000550804.6
HOXC13	NM_017410.3	ENST00000243056.5
HOXC12	NM_173860.3	ENST00000243103.4
HOXC11	NM_014212.4	ENST00000546378.1
HOXC10	NM_017409.4	ENST00000303460.5
HOXC9	NM_006897.3	ENST00000303450.5
HOXC8	NM_022658.4	ENST00000040584.6
HOXC4	NM_153633.3	ENST00000430889.3
HOXC5	NM_018953.4	ENST00000312492.3
HOXC6	NM_004503.4	ENST00000243108.5
SMUG1	NM_001243787.2	ENST00000682136.1
CBX5	NM_012117.3	ENST00000209875.9
HNRNPA1	NM_031157.4	ENST00000340913.11
NFE2	NM_001136023.3	ENST00000435572.7
COPZ1	NM_016057.3	ENST00000262061.7
GPR84	NM_020370.3	ENST00000267015.4
ZNF385A	NM_015481.3	ENST00000394313.7
ITGA5	NM_002205.5	ENST00000293379.9
GTSF1	NM_144594.3	ENST00000305879.8
NCKAP1L	NM_005337.5	ENST00000293373.11
PDE1B	NM_000924.4	ENST00000243052.8
PPP1R1A	NM_006741.4	ENST00000257905.13
LACRT	NM_033277.2	ENST00000257867.5
DCD	NM_053283.4	ENST00000293371.11
MUCL1	NM_058173.3	ENST00000308796.11
TESPA1	NM_001136030.3	ENST00000449076.6
NEUROD4	NM_021191.3	ENST00000242994.4
OR9K2	NM_001005243.2	ENST00000641329.1
OR10A7	NM_001005280.1	ENST00000326258.1
OR6C74	NM_001005490.2	ENST00000343399.5
OR6C6	NM_001005493.2	ENST00000358433.3
OR6C1	NM_001005182.2	ENST00000642104.1
OR6C3	NM_001388498.1	ENST00000641740.2
OR6C75	NM_001005497.2	ENST00000641576.1
OR6C65	NM_001005518.1	ENST00000379665.3
OR6C76	NM_001005183.1	ENST00000328314.3
OR6C2	NM_054105.2	ENST00000641202.1
OR6C70	NM_001005499.1	ENST00000327335.4
OR6C68	NM_001005519.2	ENST00000548615.1
OR6C4	NM_001005494.2	ENST00000641569.1
OR2AP1	NM_001258285.2	ENST00000641114.1
OR10P1	NM_206899.1	ENST00000309675.3
TMT1B	NM_152637.3	ENST00000394252.4
ITGA7	NM_002206.3	ENST00000257879.11
BLOC1S1	NM_001487.4	ENST00000548925.6
RDH5	NM_002905.5	ENST00000257895.10
CD63	NM_001780.6	ENST00000257857.9
GDF11	NM_005811.5	ENST00000257868.10
SARNP	NM_033082.4	ENST00000336133.8
ORMDL2	NM_014182.5	ENST00000243045.10
DNAJC14	NM_032364.6	ENST00000678005.2
MMP19	NM_002429.6	ENST00000322569.9
PYM1	NM_032345.3	ENST00000408946.7
DGKA	NM_001345.5	ENST00000331886.10
PMEL	NM_001384361.1	ENST00000548747.6
CDK2	NM_001798.5	ENST00000266970.9
RAB5B	NM_002868.4	ENST00000360299.10
SUOX	NM_001032386.2	ENST00000266971.8
IKZF4	NM_022465.4	ENST00000547167.6
RPS26	NM_001029.5	ENST00000646449.2
ERBB3	NM_001982.4	ENST00000267101.8
PA2G4	NM_006191.3	ENST00000303305.11
RPL41	NM_001035267.2	ENST00000546591.6
ZC3H10	NM_032786.3	ENST00000257940.7
ESYT1	NM_015292.3	ENST00000394048.10
MYL6B	NM_002475.5	ENST00000695999.1
MYL6	NM_021019.5	ENST00000550697.6
SMARCC2	NM_001330288.2	ENST00000550164.6
RNF41	NM_005785.4	ENST00000345093.9
NABP2	NM_024068.4	ENST00000267023.9
SLC39A5	NM_173596.3	ENST00000454355.7
ANKRD52	NM_173595.4	ENST00000267116.8
COQ10A	NM_144576.4	ENST00000308197.10
CS	NM_004077.3	ENST00000351328.8
CNPY2	NM_014255.7	ENST00000273308.9
PAN2	NM_014871.6	ENST00000440411.8
IL23A	NM_016584.3	ENST00000228534.6
STAT2	NM_005419.4	ENST00000314128.9
APOF	NM_001638.4	ENST00000398189.4
TIMELESS	NM_003920.5	ENST00000553532.6
MIP	NM_012064.4	ENST00000652304.1
SPRYD4	NM_207344.4	ENST00000338146.7
GLS2	NM_013267.4	ENST00000311966.9
RBMS2	NM_002898.4	ENST00000262031.10
BAZ2A	NM_001300905.2	ENST00000549884.6
ATP5F1B	NM_001686.4	ENST00000262030.8
PTGES3	NM_006601.7	ENST00000262033.11
NACA	NM_001365896.1	ENST00000454682.6
PRIM1	NM_000946.3	ENST00000338193.11
HSD17B6	NM_003725.4	ENST00000322165.1
SDR9C7	NM_148897.3	ENST00000293502.2
RDH16	NM_003708.5	ENST00000398138.5
GPR182	NM_007264.4	ENST00000300098.3
ZBTB39	NM_014830.3	ENST00000300101.3
TAC3	NM_013251.4	ENST00000458521.7
MYO1A	NM_005379.4	ENST00000300119.8
NEMP1	NM_001130963.2	ENST00000300128.9
NAB2	NM_005967.4	ENST00000300131.8
STAT6	NM_003153.5	ENST00000300134.8
LRP1	NM_002332.3	ENST00000243077.8
NXPH4	NM_007224.4	ENST00000349394.6
SHMT2	NM_005412.6	ENST00000328923.8
NDUFA4L2	NM_001394961.1	ENST00000554503.6
STAC3	NM_145064.3	ENST00000332782.7
R3HDM2	NM_001394031.1	ENST00000402412.6
INHBC	NM_005538.4	ENST00000309668.3
INHBE	NM_031479.5	ENST00000266646.3
GLI1	NM_005269.3	ENST00000228682.7
ARHGAP9	NM_032496.4	ENST00000393791.8
MARS1	NM_004990.4	ENST00000262027.10
DDIT3	NM_004083.6	ENST00000346473.8
LOC128125814	NM_001414991.1	ENST00000642841.1
MBD6	NM_052897.4	ENST00000355673.8
DCTN2	NM_001261413.2	ENST00000548249.6
KIF5A	NM_004984.4	ENST00000455537.7
PIP4K2C	NM_024779.5	ENST00000354947.10
DTX3	NM_178502.4	ENST00000337737.8
ARHGEF25	NM_182947.4	ENST00000286494.9
B4GALNT1	NM_001478.5	ENST00000341156.9
OS9	NM_006812.4	ENST00000315970.12
AGAP2	NM_001122772.3	ENST00000547588.6
TSPAN31	NM_005981.5	ENST00000257910.8
CDK4	NM_000075.4	ENST00000257904.11
MARCHF9	NM_138396.6	ENST00000266643.6
CYP27B1	NM_000785.4	ENST00000228606.9
METTL1	NM_005371.6	ENST00000324871.12
EEF1AKMT3	NM_015433.3	ENST00000300209.13
TSFM	NM_005726.6	ENST00000652027.2
AVIL	NM_006576.4	ENST00000549994.2
CTDSP2	NM_005730.4	ENST00000398073.7
ATP23	NM_033276.4	ENST00000300145.4
LRIG3	NM_153377.5	ENST00000320743.8
SLC16A7	NM_001270623.2	ENST00000547379.6
TAFA2	NM_178539.5	ENST00000416284.8
USP15	NM_001252078.2	ENST00000280377.10
MON2	NM_015026.3	ENST00000393630.8
PPM1H	NM_020700.2	ENST00000228705.7
AVPR1A	NM_000706.5	ENST00000299178.4
DPY19L2	NM_173812.5	ENST00000324472.9
RXYLT1	NM_014254.3	ENST00000261234.11
SRGAP1	NM_020762.4	ENST00000355086.8
KICS2	NM_152440.5	ENST00000398055.8
C12orf56	NM_001170633.2	ENST00000543942.7
XPOT	NM_007235.6	ENST00000332707.10
TBK1	NM_013254.4	ENST00000331710.10
RASSF3	NM_178169.4	ENST00000542104.6
GNS	NM_002076.4	ENST00000258145.8
TBC1D30	NM_015279.2	ENST00000539867.6
WIF1	NM_007191.5	ENST00000286574.9
LEMD3	NM_014319.5	ENST00000308330.3
MSRB3	NM_001031679.3	ENST00000308259.10
HMGA2	NM_003483.6	ENST00000403681.7
LLPH	NM_032338.4	ENST00000266604.7
TMBIM4	NM_016056.4	ENST00000358230.8
IRAK3	NM_007199.3	ENST00000261233.9
HELB	NM_001370285.1	ENST00000247815.9
GRIP1	NM_001366722.1	ENST00000359742.9
CAND1	NM_018448.5	ENST00000545606.6
DYRK2	NM_006482.3	ENST00000344096.4
IFNG	NM_000619.3	ENST00000229135.4
IL26	NM_018402.2	ENST00000229134.5
IL22	NM_020525.5	ENST00000538666.6
MDM1	NM_001354969.2	ENST00000682720.1
RAP1B	NM_001010942.3	ENST00000250559.14
NUP107	NM_020401.4	ENST00000229179.9
SLC35E3	NM_018656.5	ENST00000398004.4
MDM2	NM_002392.6	ENST00000258149.11
CPM	NM_198320.5	ENST00000551568.6
CPSF6	NM_007007.3	ENST00000435070.7
LYZ	NM_000239.3	ENST00000261267.7
YEATS4	NM_006530.4	ENST00000247843.7
FRS2	NM_001278356.2	ENST00000549921.6
CCT2	NM_006431.3	ENST00000299300.11
LRRC10	NM_201550.4	ENST00000361484.5
BEST3	NM_032735.3	ENST00000330891.10
RAB3IP	NM_022456.5	ENST00000247833.12
MYRFL	NM_182530.3	ENST00000552032.7
CNOT2	NM_014515.7	ENST00000229195.8
KCNMB4	NM_014505.6	ENST00000258111.5
PTPRB	NM_001109754.4	ENST00000334414.11
PTPRR	NM_002849.4	ENST00000283228.7
TSPAN8	NM_004616.3	ENST00000247829.8
LGR5	NM_003667.4	ENST00000266674.10
ZFC3H1	NM_144982.5	ENST00000378743.9
THAP2	NM_031435.4	ENST00000308086.3
TMEM19	NM_018279.4	ENST00000266673.10
RAB21	NM_014999.4	ENST00000261263.5
TBC1D15	NM_001146213.3	ENST00000485960.7
TPH2	NM_173353.4	ENST00000333850.4
TRHDE	NM_013381.3	ENST00000261180.10
ATXN7L3B	NM_001136262.2	ENST00000519948.4
KCNC2	NM_139137.4	ENST00000549446.6
CAPS2	NM_001355024.4	ENST00000699294.1
GLIPR1L1	NM_001304964.2	ENST00000378695.9
GLIPR1L2	NM_001270396.2	ENST00000550916.6
GLIPR1	NM_006851.3	ENST00000266659.8
KRR1	NM_007043.7	ENST00000229214.9
PHLDA1	NM_007350.3	ENST00000266671.10
NAP1L1	NM_004537.7	ENST00000618691.5
BBS10	NM_024685.4	ENST00000650064.2
OSBPL8	NM_020841.5	ENST00000261183.8
ZDHHC17	NM_015336.4	ENST00000426126.7
CSRP2	NM_001321.3	ENST00000311083.10
E2F7	NM_203394.3	ENST00000322886.12
NAV3	NM_001024383.2	ENST00000397909.7
SYT1	NM_005639.3	ENST00000261205.9
PAWR	NM_002583.4	ENST00000328827.9
PPP1R12A	NM_002480.3	ENST00000450142.7
OTOGL	NM_001378609.3	ENST00000547103.7
PTPRQ	NM_001145026.2	ENST00000644991.3
MYF6	NM_002469.3	ENST00000228641.4
MYF5	NM_005593.3	ENST00000228644.4
LIN7A	NM_004664.4	ENST00000552864.6
ACSS3	NM_024560.4	ENST00000548058.6
PPFIA2	NM_003625.5	ENST00000549396.6
CCDC59	NM_014167.5	ENST00000256151.8
METTL25	NM_032230.3	ENST00000248306.8
TMTC2	NM_152588.3	ENST00000321196.8
SLC6A15	NM_182767.6	ENST00000266682.10
TSPAN19	NM_001100917.2	ENST00000532498.7
LRRIQ1	NM_001079910.2	ENST00000393217.7
ALX1	NM_006982.3	ENST00000316824.4
RASSF9	NM_005447.4	ENST00000361228.5
NTS	NM_006183.5	ENST00000256010.7
MGAT4C	NM_001351288.2	ENST00000611864.5
C12orf50	NM_152589.3	ENST00000298699.7
RLIG1	NM_001009894.3	ENST00000356891.4
CEP290	NM_025114.4	ENST00000552810.6
TMTC3	NM_181783.4	ENST00000266712.11
KITLG	NM_000899.5	ENST00000644744.1
DUSP6	NM_001946.4	ENST00000279488.8
POC1B	NM_172240.3	ENST00000313546.8
GALNT4	NM_003774.5	ENST00000529983.3
ATP2B1	NM_001366521.1	ENST00000428670.8
CCER1	NM_152638.4	ENST00000358859.3
EPYC	NM_004950.5	ENST00000261172.8
KERA	NM_007035.4	ENST00000266719.4
LUM	NM_002345.4	ENST00000266718.5
DCN	NM_001920.5	ENST00000052754.10
BTG1	NM_001731.3	ENST00000256015.5
PLEKHG7	NM_001377329.1	ENST00000344636.6
EEA1	NM_003566.4	ENST00000322349.13
NUDT4	NM_019094.6	ENST00000415493.7
UBE2N	NM_003348.4	ENST00000318066.7
MRPL42	NM_014050.4	ENST00000549982.6
SOCS2	NM_001270471.2	ENST00000551556.2
CRADD	NM_003805.5	ENST00000332896.8
PLXNC1	NM_005761.3	ENST00000258526.9
CEP83	NM_016122.3	ENST00000397809.10
TMCC3	NM_020698.4	ENST00000261226.9
NDUFA12	NM_018838.5	ENST00000327772.7
NR2C1	NM_003297.4	ENST00000333003.10
FGD6	NM_018351.4	ENST00000343958.9
VEZT	NM_017599.4	ENST00000436874.6
METAP2	NM_006838.4	ENST00000323666.10
USP44	NM_032147.5	ENST00000258499.8
NTN4	NM_021229.4	ENST00000343702.9
SNRPF	NM_003095.5	ENST00000266735.10
CCDC38	NM_182496.3	ENST00000344280.8
AMDHD1	NM_152435.3	ENST00000266736.7
HAL	NM_002108.4	ENST00000261208.8
LTA4H	NM_000895.3	ENST00000228740.7
ELK3	NM_005230.4	ENST00000228741.8
CDK17	NM_002595.5	ENST00000261211.8
CFAP54	NM_001306084.2	ENST00000524981.9
NEDD1	NM_152905.4	ENST00000266742.9
TMPO	NM_001032283.3	ENST00000556029.6
SLC25A3	NM_002635.4	ENST00000552981.6
IKBIP	NM_153687.4	ENST00000299157.5
APAF1	NM_181861.2	ENST00000551964.6
ANKS1B	NM_001352186.2	ENST00000683438.2
GARIN6	NM_153364.4	ENST00000324341.2
BLTP3B	NM_015054.2	ENST00000279907.12
ACTR6	NM_022496.5	ENST00000188312.7
DEPDC4	NM_001364818.2	ENST00000550587.6
SCYL2	NM_017988.6	ENST00000360820.7
SLC17A8	NM_139319.3	ENST00000323346.10
NR1H4	NM_001206979.2	ENST00000392986.8
GAS2L3	NM_174942.3	ENST00000547754.6
ANO4	NM_001286615.2	ENST00000392977.8
SLC5A8	NM_145913.5	ENST00000536262.3
UTP20	NM_014503.3	ENST00000261637.5
ARL1	NM_001177.6	ENST00000261636.13
SPIC	NM_152323.3	ENST00000551346.2
MYBPC1	NM_002465.4	ENST00000361466.7
CHPT1	NM_020244.3	ENST00000229266.8
SYCP3	NM_001177949.2	ENST00000392924.2
GNPTAB	NM_024312.5	ENST00000299314.12
DRAM1	NM_018370.3	ENST00000258534.13
WASHC3	NM_016053.4	ENST00000240079.11
NUP37	NM_024057.4	ENST00000552283.6
PARPBP	NM_017915.5	ENST00000327680.7
PMCH	NM_002674.4	ENST00000329406.5
IGF1	NM_000618.5	ENST00000337514.11
PAH	NM_000277.3	ENST00000553106.6
